Date,Days_After_Sowing,NDVI_Interpolated,NDVI_Lower_CI,NDVI_Upper_CI,FVC_Interpolated,FVC_Lower_CI,FVC_Upper_CI,Ground_Cover_Percentage,Ground_Cover_Lower_CI,Ground_Cover_Upper_CI,Growth_Stage,Sowing_Date,Harvest_Date,temperature_2m,temperature_min,temperature_max,precipitation,humidity,pressure,wind_speed,cloud_cover,gdd_daily,gdd_cumulative
2023-10-03,0,0.05164674046330779,0.04164674046330779,0.08644674046330779,0.0,0.0,0.0,0.0,0.0,0.0,Sowing,2023-10-03,2024-07-30,17.7,12.5,25.8,1.4,70,1018.7,17.4,51,19.15,19.15
2023-10-04,1,0.051854613612621094,0.04185461361262109,0.08665461361262108,0.0,0.0,0.0,0.0,0.0,0.0,Sowing,2023-10-03,2024-07-30,12.3,8.8,16.3,0.0,77,1028.8,9.7,34,12.55,31.7
2023-10-05,2,0.05223854723674028,0.04223854723674028,0.08703854723674029,0.0,0.0,0.0,0.0,0.0,0.0,Sowing,2023-10-03,2024-07-30,10.6,6.9,15.4,0.0,80,1027.3,9.0,78,11.15,42.85
2023-10-06,3,0.05276981545171491,0.04276981545171491,0.08756981545171491,0.0,0.0,0.0,0.0,0.0,0.0,Emergence,2023-10-03,2024-07-30,11.1,5.2,18.1,0.0,80,1027.1,7.0,57,11.65,54.5
2023-10-07,4,0.053446510617812984,0.04344651061781298,0.08824651061781298,0.0,0.0,0.0,0.0,0.0,0.0,Emergence,2023-10-03,2024-07-30,13.4,9.6,17.3,0.0,67,1025.1,16.1,50,13.45,67.95
2023-10-08,5,0.054287936433027185,0.044287936433027184,0.08908793643302718,0.0,0.0,0.0,0.0,0.0,0.0,Emergence,2023-10-03,2024-07-30,15.6,12.4,19.2,0.0,70,1025.1,13.9,68,15.8,83.75
2023-10-09,6,0.055305556234664266,0.045305556234664264,0.09010555623466426,0.0,0.0,0.0,0.0,0.0,0.0,Emergence,2023-10-03,2024-07-30,15.5,11.7,19.1,0.0,68,1021.8,14.1,79,15.4,99.15
2023-10-10,7,0.056442964267135416,0.046442964267135414,0.0912429642671354,0.0,0.0,0.0,0.0,0.0,0.0,Emergence,2023-10-03,2024-07-30,15.8,12.3,21.9,0.0,66,1021.8,8.9,92,17.1,116.25
2023-10-11,8,0.0575388860346892,0.0475388860346892,0.0923388860346892,0.0,0.0,0.0,0.0,0.0,0.0,Emergence,2023-10-03,2024-07-30,16.6,11.7,23.7,0.0,63,1019.0,10.6,37,17.7,133.95
2023-10-12,9,0.05849731931574258,0.048497319315742575,0.09329731931574257,0.0,0.0,0.0,0.0,0.0,0.0,Emergence,2023-10-03,2024-07-30,16.5,14.4,20.8,1.5,69,1017.3,11.9,99,17.6,151.54999999999998
2023-10-13,10,0.059575974494255855,0.04957597449425585,0.09437597449425586,0.0,0.0,0.0,0.0,0.0,0.0,Emergence,2023-10-03,2024-07-30,17.9,13.0,25.0,0.0,62,1014.8,12.2,58,19.0,170.54999999999998
2023-10-14,11,0.061228769291870655,0.05122876929187065,0.09602876929187065,0.0,0.0,0.0,0.0,0.0,0.0,Emergence,2023-10-03,2024-07-30,15.0,9.5,19.8,3.8,71,1012.2,17.9,87,14.65,185.2
2023-10-15,12,0.06358426096900055,0.05358426096900055,0.09838426096900055,0.0,0.0,0.0,0.0,0.0,0.0,Emergence,2023-10-03,2024-07-30,6.9,4.0,10.0,0.6,77,1021.1,13.0,32,7.0,192.2
2023-10-16,13,0.06638562932173142,0.05638562932173142,0.10118562932173142,0.0,0.0,0.0,0.0,0.0,0.0,Emergence,2023-10-03,2024-07-30,4.4,-1.1,9.3,0.0,80,1023.4,5.9,56,4.1000000000000005,196.29999999999998
2023-10-17,14,0.0693538614197349,0.0593538614197349,0.1041538614197349,0.0,0.0,0.0,0.0,0.0,0.0,Tillering,2023-10-03,2024-07-30,4.9,1.4,9.2,0.0,78,1019.5,9.5,68,5.3,201.6
2023-10-18,15,0.07236216592764672,0.062362165927646714,0.10716216592764671,0.0,0.0,0.0,0.0,0.0,0.0,Tillering,2023-10-03,2024-07-30,6.9,2.2,12.5,0.7,77,1011.3,10.7,97,7.35,208.95
2023-10-19,16,0.07537875005584875,0.06537875005584876,0.11017875005584875,0.0,0.0,0.0,0.0,0.0,0.0,Tillering,2023-10-03,2024-07-30,11.3,7.7,15.2,11.5,92,998.2,11.0,92,11.45,220.39999999999998
2023-10-20,17,0.07839892468099412,0.06839892468099412,0.11319892468099411,0.0,0.0,0.0,0.0,0.0,0.0,Tillering,2023-10-03,2024-07-30,12.5,10.3,16.2,7.1,89,986.5,12.5,98,13.25,233.64999999999998
